book_index,name_ko,name_en,testament,chapter_count
1,"창세기",Genesis,Old,50
2,"출애굽기",Exodus,Old,40
3,"레위기",Leviticus,Old,27
4,"민수기",Numbers,Old,36
5,"신명기",Deuteronomy,Old,34
6,"여호수아",Joshua,Old,24
7,"사사기",Judges,Old,21
8,"룻기",Ruth,Old,4
9,"사무엘상","1 Samuel",Old,31
10,"사무엘하","2 Samuel",Old,24
11,"열왕기상","1 Kings",Old,22
12,"열왕기하","2 Kings",Old,25
13,"역대상","1 Chronicles",Old,29
14,"역대하","2 Chronicles",Old,36
15,"에스라",Ezra,Old,10
16,"느헤미야",Nehemiah,Old,13
17,"에스더",Esther,Old,10
18,"욥기",Job,Old,42
19,"시편",Psalms,Old,150
20,"잠언",Proverbs,Old,31
21,"전도서",Ecclesiastes,Old,12
22,"아가","Song of Solomon",Old,8
23,"이사야",Isaiah,Old,66
24,"예레미야",Jeremiah,Old,52
25,"예레미야애가",Lamentations,Old,5
26,"에스겔",Ezekiel,Old,48
27,"다니엘",Daniel,Old,12
28,"호세아",Hosea,Old,14
29,"요엘",Joel,Old,3
30,"아모스",Amos,Old,9
31,"오바댜",Obadiah,Old,1
32,"요나",Jonah,Old,4
33,"미가",Micah,Old,7
34,"나훔",Nahum,Old,3
35,"하박국",Habakkuk,Old,3
36,"스바냐",Zephaniah,Old,3
37,"학개",Haggai,Old,2
38,"스가랴",Zechariah,Old,14
39,"말라기",Malachi,Old,4
40,"마태복음",Matthew,New,28
41,"마가복음",Mark,New,16
42,"누가복음",Luke,New,24
43,"요한복음",John,New,21
44,"사도행전",Acts,New,28
45,"로마서",Romans,New,16
46,"고린도전서","1 Corinthians",New,16
47,"고린도후서","2 Corinthians",New,13
48,"갈라디아서",Galatians,New,6
49,"에베소서",Ephesians,New,6
50,"빌립보서",Philippians,New,4
51,"골로새서",Colossians,New,4
52,"데살로니가전서","1 Thessalonians",New,5
53,"데살로니가후서","2 Thessalonians",New,3
54,"디모데전서","1 Timothy",New,6
55,"디모데후서","2 Timothy",New,4
56,"디도서",Titus,New,3
57,"빌레몬서",Philemon,New,1
58,"히브리서",Hebrews,New,13
59,"야고보서",James,New,5
60,"베드로전서","1 Peter",New,5
61,"베드로후서","2 Peter",New,3
62,"요한일서","1 John",New,5
63,"요한이서","2 John",New,1
64,"요한삼서","3 John",New,1
65,"유다서",Jude,New,1
66,"요한계시록",Revelation,New,22
